Chemical,CAS No.,"Pos ""/""",CAS No. cleaned,"Number ""-""","Chem
Agora
Link","Che
LIST",CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,Ames Overall ,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MLA Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro MN Overall ,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vitro CA Overall ,+,-,,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo MN Overall ,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo CA Overall,CSCL-ISHL," Kirkland et al 2005 & 2011 [1, 2]*",US NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,in vivo UDS Overall," Kirkland et al 2005 & 2011 [1, 2]*",EFSA,ECHA,SCCS,ISSTox,Literature & Notes,transgenic Overall," Kirkland et al 2005 & 2011 [1, 2]*",CosE,SCCS,EFSA,GSK,ECHA,Literature & Notes,in vivo DNA damage Overall,+,-,,CSCL-ISHL,,," Kirkland et al 2005 & 2011 [1, 2]*",NTP,EFSA,SCCS,CosE,BASF,GSK,ECHA,ISSTox,Literature & Notes,CARC Overall ,, (a)
Carbaryl (Sevin),63-25-2,0,63-25-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,(+) spleen,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
2-Benzimidazolecarbamate (AKA Carbendazim),10605-21-7,0,10605-21-7,2,»,»,,,,E,+,+,,,,,,,,+,,,+,,-,,,,,,,,E,,+,,+,,,,,,,,+,,,,(+)**,,-,,,,,,,,E,1,0,,,+,,+,,,,,,,,+,,(+)**,,-,,,,,,,(+) Numerical Abs only,+**,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,+,,,,,,,,+,,EFSA: (-) in vivo DNA binding
"Carmustine [1,3-bis(2-chloroethyl)nitrosurea]",154-93-8,0,154-93-8,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,2,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Cesium chloride,7647-17-8,0,7647-17-8,2,»,»,,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Chloral hydrate,302-17-0,0,302-17-0,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,-,-,,,,,,,,+ [133]; - [137],E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
Chloramben,133-90-4,0,133-90-4,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
Chlorambucil,305-03-3,0,305-03-3,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,3,0,,,,,+,,,,,,,,,,+,,
Chlordane (technical grade),12789-03-6 ,0,12789-03-6,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,+ [173-175]; NTP tested only the pure chlordane for carcinogenicity,+,,
Chlornaphazine,494-03-1,0,494-03-1,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,+,,,,,,,,,,+,,
Chloroacetaldehyde,107-20-0,0,107-20-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
4'-(Chloroacetyl)acetanilide,140-49-8,0,140-49-8,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-,-,,,,,,,,,-,,
p-Chloroaniline (free base and HCl salt),106-47-8/ 20265-96-7,9,106-47-8,2,»,»,,,,+,+,,,,,,,,,+,,,E,+,,,,,,,,,E,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,-/+,+,,,,,,,,"Carcinogenicity Call based on the more rigorous NTP study, positive in Rats",+,,
Chlordiazepoxide/chlordiazepoxide HCl,438-41-5/  58-25-3,9,438-41-5,2,»,»,,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,-,0,1,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
Chlorine dioxide,10049-04-4,0,10049-04-4,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,-,,,,,,,,,,-,1,1,,,E,,,,,,,,,,E,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
Chloroacetophone,532-27-4,0,532-27-4,2,»,»,,,,+,-,,,,,,,,+ [22] in S. typhimurium TA100 strain ±S9 at 2000-6000 microg/plate [no published data];  + [23]  at 33 microg -S9 and at 333 microg +S9.,E,,,,,,,,,,,,,,,(-) TC,,,,,,,,,,I,,,,(-) TC,+,,,,,,,,,+,1,0,,,(+) Hamsters;       (-) Rats,,,,,,,,,,+,,"- (Rats, Hamsters)",,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,E,,,,,,,,,E,,
o-Chlorobenzalmalonitrile,2698-41-1,0,2698-41-1,2,»,»,,,,,E,,,,,,,,NTP: E call in two different labs.  ,E,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,+,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,-,,,,,,,,,-,,
p-Chlorobenzotrichloride,5216-25-1,0,5216-25-1,2,»,»,-,+,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,+,,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,not listed,not listed,EU cat 2. (Mice),,,,,,,,,,+Mice [176]  ,+,,
"2-Chlorobuta-1,3-diene",126-99-8,0,126-99-8,2,»,»,,,,,-,,,,,,I,,+ [24-27],+,,,,,,,,,,I Hprt,,,I Hprt,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,-,,,,,,-,,Echa (inc.)  re-evalueted call as (-),-,,,-,,,,,,-,,Echa (inc.)  re-evalueted call,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,+,,,,,,+,,,+,,"ECHA: in vivo (-) SCE, (-) DLM Assay"
1-Chloro-2-(chloromethyl)benzene,611-19-8,0,611-19-8,2,»,»,weak +,-,+,,,,,,,,,,weak+ [28],+,,,,,,,,,,,,,,,,,,,,,,,,,,-,+,+,,,,,,,,,,,+,1,0,,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,not listed,not listed,,,,,,,,,,,,,,
3-Chloro-4-(dichloromethyl)-5-hydroxy-2(5H)-furanone (AKA MX),77439-76-0,0,77439-76-0,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,+,,,,,,,,,,+,-,,,,,,-,+,,,,,,,+,3,1,,,,,+,,,,,,,,,"+ [177, 178]",+,,
Chlorodibromomethane,124-48-1,0,124-48-1,2,»,»,,,,+,+,,,,,,,,,+,,,E,+,,,,,,,,,E,,,,,,,,,,,,,,,,+**,-,,,,,,,,,E,0,0,,,-,-,,,,,,,,,-,,E,+,,,,,,,,,+,,-,,,,,,,,,,-,,,,,,,,+,,,,,,,+,2,2,,,,,+,+,,,,,,,,,+,,
Chlorodifluoromethane (GAS) [AKA fluorocarbon 22],75-45-6,0,75-45-6,2,»,»,+,+,+,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,-,0,1,,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,3 V71,(-) Rats & Mice,,-,,,,,,,,,"Limited evidence in Male Rats, EURAR",-,,
Chloroethane,75-00-3,0,75-00-3,2,»,»,,,,+,,,,,,,+,,,+,,,,,,,,,,+ Hprt,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,-,,,,,,,-,,,-,,,,,,,,,,,,,,-,,,,,,,-,,,-,,,,,,,,,,,,,,,,0,2,,,,,+,+,,,,,,+,,,+,,
2-Chloro-6-ethylamino-4-nitrophenol - COLIPA B89,131657-78-8,0,131657-78-8,2,»,»,,,,,,,+,,,,,,+ [29],+,,,,,,+,,,,,,,+,,,,,+,,,,,,,+,,,,,,,,,,,,,,,2,0,,,,,,-,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
5-(2-Chloroethyl)2-deoxyuridine,90301-59-0,0,90301-59-0,2,»,»,,,,+,,,,,,,,,+ [30],+,,,,,,,,,,,,,,,-,,,,,,,,,- [30],-,,,,,,,,,,,,,,,0,1,,,-,,,,,,,,,- [30],-,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,+ [30],+,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
"1-(2-Chloroethyl)-3-(4-methylcyclohexyl)
-1-nitrosourea (AKA Methyl CCNU)",13909-09-6,0,13909-09-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
2-(Chloromethyl)pyridine HCl/ 2-(chloromethyl)pyridine,6959-47-3/ 4377-33-7,10,6959-47-3,2,»,»,,,,+,+,,,,,,,+,,+,,,+,+,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,-,-,,,,,,,-,,-,,
3-(Chloromethyl)pyridine HCl,6959-48-4,0,6959-48-4,2,»,»,,,,+,+,,,,,,,,,+,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,-,-,,,,,,,,,-,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,+,+,,,,,,,,,+,,
1-Chloromethylpyrene,1086-00-6,0,1086-00-6,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,(-) stomach,,,,,,,,,,-,+,,,,,,+,+,,,,,,,+,2,1,,,,,,,,,,,,,,,,,
3-Chloro-2-methylpropene,563-47-3,0,563-47-3,2,»,»,-,+,+,,E,,,,,,,,,+,,,E,+,,,,,,,,,E,,,,,,,,,,,,,+,+,+,,+,,,,,,,,,+,1,0,,-,,-,,,,,,,,,-,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,(+) Mice,,,+,,,,,,,, NTP study: + Rats & Mice,+,,
1-Chloro-2-nitrobenzene,88-73-3,0,88-73-3,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,,,E,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
1-Chloro-4-nitrobenzene,100-00-5,0,100-00-5,2,»,»,-,+,+,+,,,,,,,,,,+,,+,,,,,,,,,,+ [108],+,,,,,,,,,,,,,+,-,+,+,+,,,,,,,,,+,2,0,,+,,,,,,,,,,,+,-,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,3,(+) Mice,,+,,,,,,,,,,+,,
m-Chloronitrobenezene,121-73-3,0,121-73-3,2,»,»,,,,E,E,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(-)TC,-,,,,,,,,,-,0,1,,,E,,,,,,,,,,E,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,
(E)-3-Chloro-4'-nitrostilbene,7297-53-2,0,7297-53-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
(E)-4-Chloro-4'-nitrostilbene,14064-55-2,0,14064-55-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
"1-(4-Chlorophenyl)-3,3-dimethyltriazene",7203-90-9,0,7203-90-9,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,+,+,,,,,,,,+ [134],+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,
4-Chloro-m-phenylenediamine,5131-60-2,0,5131-60-2,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
4-Chloro-o-phenylenediamine,95-83-0,0,95-83-0,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,+,+,,,,,,,,,+,,,+,,,,,,,,,+,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,3,0,,,,,+,+,,,,,,,,,+,,
2-Chloro-p-phenylenediamine sulfate,61702-44-1,0,61702-44-1,2,»,»,,,,,+,,,,,,,,,+,,,E,+,,,,,,,,,E,,,,,,,,,,,,,,,,,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,-,,,,,,,,,-,,
1-Chloro-2-propanol,127-00-4,0,127-00-4,2,»,»,,,,,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,Study performed on a pure sample,+,1,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,-,,,,,,,,,-,,
Chloroquine,54-05-7,0,54-05-7,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,2,0,,,+,,,,,,,,,,+,,weak +,,,,,,,,,,weak +,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,
Chlorozotocin,54749-90-5,0,54749-90-5,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Chrysazin,81-55-0,0,81-55-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
Chrysene,218-01-9,0,218-01-9,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,1,,,,,+ ,,,,,,,,,"+ [179, 180]",+,,
C.I. Acid orange 3,6373-74-6,0,6373-74-6,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
C.I. Acid red 26 (AKA D&C Red 5 and Ponceau MX),3761-53-3,0,3761-53-3,2,»,»,,,,E,,,,,,,,,,E,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,0,1,,,,,+,,,,,,,,,,+,,
C.I. food red 3 [AKA Acid red 14],3567-69-9,0,3567-69-9,2,»,»,,,,+,-,,,,,,,,- [31] test without reduction,+,,,U,-,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,-,-,,,,,,,,,-,,
C.I. Acid red 114,6459-94-5,0,6459-94-5,2,»,»,,,,+,+,,,,,,,,,+,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,0,1,,,,,+,+,,,,,,,,,+,,
C.I. Basic red 9 (pararosaniline HCl),569-61-9,0,569-61-9,2,»,»,,,,+,+,,,,,,,,,+,,,E,E,,,,,,,,,E,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,+,1,1,,,,,+,+,,,,,,,,,+,,
C.I. Direct black 38,1937-37-7,0,1937-37-7,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,+,,,,,,,,,,+,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,2,0,,,,,+,+,,,,,,,,,+,,
C.I. Direct blue 6,2602-46-2,0,2602-46-2,2,»,»,,,,+R,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
C.I. Direct blue 14 (Trypan blue),72-57-1,0,72-57-1,2,»,»,,,,+,,,,,,,,,,+,,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,0,0,,,,,+,,,,,,,,,,+,,
C.I. Direct blue 53,314-13-6,0,314-13-6,2,»,»,,,,+R,,,,,,,,,,+,,,U,,,,,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,-,,,,,,,-,1,1,,,,,,,,,,,,,,,,,
C.I. Direct blue 15,2429-74-5,0,2429-74-5,2,»,»,,,,+R,+,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
C.I. Direct brown 95,16071-86-6,0,16071-86-6,2,»,»,,,,+R,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,1,0,,,,,+,+,,,,,,,,,+,,
C.I. Disperse blue 1,2475-45-8,0,2475-45-8,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,1,0,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,+,,,,,,,,,+,,
C.I. Disperse orange 2 (1-amino-2-methyl-anthrquinone),82-28-0,0,82-28-0,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,+,+,,,,,,,,,+,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
C.I. Disperse yellow 3,2832-40-8,0,2832-40-8,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,-,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,+,+,,,,,,,,,+,,
C.I. Pigment red 3,2425-85-6,0,2425-85-6,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
C.I. Pigment red 23,6471-49-4,0,6471-49-4,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,-,E,,,,,,,,E [181],E,,
C.I. Direct red 28 ( Congo Red),573-58-0,0,573-58-0,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
C.I. Solvent yellow 3 (o-aminoazotoluene),97-56-3,0,97-56-3,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,+,+,,,,,,+,,,,,,,,,2,0,,,,,+,,,,,,,,,,+,,
C.I. Solvent yellow 14,842-07-9,0,842-07-9,2,»,»,,,,+,+,,,,,,,,,+,,,U,+,,,,,,,,,I,,,,,,,,,,,,,,,,-,-,,,,,,,,,-,0,1,,,+,E,,,,,,,,,+,,,,,,,,,,,,,,E,,,,,,,,,,E,,,,,,,,,,,,,,,,1,0,,,,,+,+,,,,,,,,+ [182],+,,
Ciprofloxacin,85721-33-1,0,85721-33-1,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,,,,,,,,,,+,3,0,,,-,,,,,,,,,,-,,E,,,,,,,,,,E,,-,,,,,,,,,,-,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,
Cisplatin,15663-27-1,0,15663-27-1,2,»,»,,,,+,+,,,,,,,,,+,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,+,+,,,,,,,,,+,3,0,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,+,,,,,,+,+,,,,,,,+,4,0,,,,,+,,,,,,,,,+ [183],+,,
Coal tar,8007-45-2,0,8007-45-2,2,»,»,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,,,+,,,,,,,,,1,0,,,,,+,,,,,,,,,+ [184],+,,
Cobalt (II) acetate tetrahydrate,6147-53-1,0,6147-53-1,2,»,»,+,-,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,+,+,+,,,,,,,,,,,+,1,0,,+,,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,2B,(+) Rats & Mice,,,,,,,,,,,Read Across data with Cobalt sulfate heptahydrate (cas no. 10026-24-1),+,,
Cobalt dichloride hexahydrate,7791-13-1,0,7791-13-1,2,»,»,,,,+,,,,,,,,,,+,,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,+,,,,,,,,,,+,,+,,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,
Cobalt Sulfate heptahydrate,10026-24-1,0,10026-24-1,2,»,»,,,,+,+,,,,,,,,,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,+,+,,,,,,,,,+,,
