PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Species/Cell Type,Sex,Assay Type,Assay Code,Results,Activation,Dose Response,Panel Report,Reference,Evaluation Type
4841,363896011,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Active,,,,Chinese hamster ovary (CHO) cells,,Forward gene mutation at the HPRT locus,CHO+,Positive,,,"EMICBACK/71517; MUTAT RES 196:17-36,1988","EMICBACK/45725; MUTAT RES 94:449-466,1982",Evaluation B (Post-1980)
4842,363896011,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inactive,,,,Syrian hamster embryo (SA7/SHE) cells,,"Cell transformation, viral enhanced",CT7-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4843,363896011,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Active,,,,"Mammalian cell culture, nonhuman",,"Micronucleus test in vitro, chromosome aberrations",MN&+,Positive,,,"EMICBACK/50890; MUTAT RES 123:61-118,1983",,Evaluation A (Pre-1980)
4844,363896011,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Unspecified,,,,Mammalian germ cells,Male,Chromosome aberrations in vivo,CY9T,No conclusion,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
4845,363896011,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Active,,,,Escherichia coli polA (W3119 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE1+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4846,363896011,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEC-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
4847,363896011,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
4848,363896011,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inactive,,,,Saccharomyces cerevisiae,,Reverse gene mutation,YER-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
4849,363896011,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Inactive,,,,Mouse,Male,Sperm morphology,SPI-,Negative,,,"EMICBACK/50126; MUTAT RES 115:1-72,1983",,Evaluation A (Pre-1980)
4850,363896011,14710,CC[N+]1=C2C=C(C=CC2=C3C=CC(=CC3=C1C4=CC=CC=C4)N)N.[Br-],Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/21338; PROC NATL ACAD SCI USA 72:5135-5139,1975 ; EMICBACK/24432; MUTAT RES 48:103-108,1977",Evaluation A (Pre-1980)
4851,363896012,135487615,C1=CC=C2C(=C1)C=CC(=C2N=NC3=C(C4=CC=CC=C4C=C3)S(=O)(=O)[O-])O.[Na+],Inactive,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL-,Negative,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/31183; MUTAT RES 66:181-185,1979",Evaluation A (Pre-1980)
4852,363896013,227037,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@H]4[C@@]5([C@@]3(CC[C@@H](C5)O)C)O4)C,Active,,,,Syrian hamster embryo (SHE) cells,,"Cell transformation, clonal assay",CTC+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4853,363896014,,,Active,,,,Mouse (BALB/c-3T3) cells,,Cell transformation,CTB+D,Positive,,With dose response,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4854,363896014,,,Active,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4855,363896014,,,Inactive,,,,Salmonella typhimurium,,"Forward and reverse gene mutation, host-mediated assay",HMA-,Negative,,,"EMICBACK/45734; MUTAT RES 98:319-374,1982","EMICBACK/31455; JNCI J NATL CANCER INST 62:911-918,1979",Evaluation A (Pre-1980)
4856,363896014,,,Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
4857,363896014,,,Unspecified,,,,Escherichia coli polA (W3119 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE1T,No conclusion,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4858,363896014,,,Active,,,,Syrian hamster embryo (SHE) cells,,"Cell transformation, clonal assay",CTC+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4859,363896014,,,Active,,,,Human diploid fibroblasts,,"Unscheduled DNA synthesis (UDS) in vitro, DNA effects",UDH+,Positive,,,"EMICBACK/52100; MUTAT RES 123:363-410,1983",,Evaluation A (Pre-1980)
4860,363896015,14771,O=[As](=O)O[As](=O)=O,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+,Positive,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/45292; MUTAT RES 104:141-145,1982",Evaluation B (Post-1980)
4861,363896015,14771,O=[As](=O)O[As](=O)=O,Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4862,363896016,14775,[Be]=O,Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
4863,363896017,14782,O=[Cd],Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
4864,363896018,14783,S=[Cd],Active,,,,Human lymphocytes or leukocytes,,Chromosome aberrations in vitro,CY7+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
4865,363896018,14783,S=[Cd],Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
4866,363896019,14785,O.O.O.[Co],Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4867,363896020,14789,O[Fe]=O.O[Fe]=O.[Fe],Inactive,,,,Escherichia coli WP2,,Tryptophan reverse gene mutation,WP2-,Negative,,,"EMICBACK/37490; MUTAT RES 76:169-190,1980",,Evaluation A (Pre-1980)
4868,363896021,14794,[O-2].[O-2].[O-2].[Sb+3].[Sb+3],Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4869,363896022,14798,[OH-].[Na+],Unspecified,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2T,No conclusion,,,EMIC/91392; Mutat Res 1993 Sep;297(2):101-80,"EMICBACK/58920; ENVIRON MUTAGEN 7:185-200,1985",Evaluation B (Post-1980)
4870,363896022,14798,[OH-].[Na+],Inactive,,,,Syrian hamster embryo (SA7/SHE) cells,,"Cell transformation, viral enhanced",CT7-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4871,363896023,237873,[Na+].[Na+].[SH-],Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/77345; MUTAT RES 239:29-80,1990","EMICBACK/41641; MUTAT RES 90:91-109,1981",Evaluation B (Post-1980)
4872,363896024,73973,[Na+].[Na+].[Se-2],Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/48905; CANCER LETT 18:109-116,1983",Evaluation B (Post-1980)
4873,363896024,73973,[Na+].[Na+].[Se-2],Active,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/37072; MUTAT RES 78:261-266,1980",Evaluation B (Post-1980)
4874,363896024,73973,[Na+].[Na+].[Se-2],Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCL+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/37072; MUTAT RES 78:261-266,1980",Evaluation B (Post-1980)
4875,363896025,14814,O=[V](=O)O[V](=O)=O,Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4876,363896026,14823,S=[Mo]=S,Active,,,,Syrian hamster embryo (SA7/SHE) cells,,"Cell transformation, viral enhanced",CT7+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4877,363896027,14827,O=[Pb],Active,,,,Syrian hamster embryo (SA7/SHE) cells,,"Cell transformation, viral enhanced",CT7+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4878,363896028,14888,[O-2].[O-2].[O-2].[As+3].[As+3],Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4879,363896029,,,Unspecified,,,,Mammalian polychromatic erythrocytes,,"Micronucleus test, chromosome aberrations",MNTT,No conclusion,,,"EMICBACK/77345; MUTAT RES 239:29-80,1990","EMICBACK/67939; MUTAT RES 179:23-31,1987",Evaluation B (Post-1980)
4880,363896029,,,Inactive,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCL-,Negative,,,"EMICBACK/41613; MUTAT RES 87:17-62,1981",,Evaluation A (Pre-1980)
4881,363896029,,,Inactive,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1-,Negative,,,"EMICBACK/41613; MUTAT RES 87:17-62,1981",,Evaluation A (Pre-1980)
4882,363896030,150167,[O-][As]([O-])[O-].[K+].[K+].[K+],Active,,,,Human lymphocytes or leukocytes,,Chromosome aberrations in vitro,CY7+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
4883,363896030,150167,[O-][As]([O-])[O-].[K+].[K+].[K+],Inactive,,,,Escherichia coli WP2,,Tryptophan reverse gene mutation,WP2-,Negative,,,"EMICBACK/37490; MUTAT RES 76:169-190,1980",,Evaluation A (Pre-1980)
4884,363896031,,,Inactive,,,,Escherichia coli WP2 UVRA,,Tryptophan reverse gene mutation,WPU-*,Negative,With metabolic activation,,"EMICBACK/37490; MUTAT RES 76:169-190,1980",,Evaluation A (Pre-1980)
4885,363896031,,,Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
4886,363896032,14915,O=[Cr](=O)=O,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/37212; IND HEALTH(JPN) 17:39,1979",Evaluation B (Post-1980)
4887,363896032,14915,O=[Cr](=O)=O,Active,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/45036; MUTAT RES 90:425-431,1981",Evaluation B (Post-1980)
4888,363896032,14915,O=[Cr](=O)=O,Active,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCL+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/45036; MUTAT RES 90:425-431,1981",Evaluation B (Post-1980)
4889,363896032,14915,O=[Cr](=O)=O,Active,,,,Nonhuman,,Chromosome aberrations in vitro,CY&+,Positive,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
4890,363896032,14915,O=[Cr](=O)=O,Active,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REW+,Positive,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4891,363896032,14915,O=[Cr](=O)=O,Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
4892,363896032,14915,O=[Cr](=O)=O,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/25197; APPL ENVIRON MICROBIOL 33:805-809,1977",Evaluation A (Pre-1980)
4893,363896033,297,C,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+,Positive,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/41503; J TOXICOL ENVIRON HEALTH 7:973-989,1981",Evaluation B (Post-1980)
4894,363896034,5284406,CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],Unspecified,,,,Rodents,Male,Dominant lethal test,DLTT,No conclusion,,,"EMICBACK/60142; MUTAT RES 154:49-67,1985","EMICBACK/18067; EXPERIENTIA 30:486-487,1974",Evaluation A (Pre-1980)
4895,363896034,5284406,CC(=O)[O-].CC(=O)[O-].[OH-].[OH-].[OH-].[OH-].[Pb+2].[Pb+2].[Pb+2],Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
4896,363896035,,,Inactive,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4897,363896036,,,Active,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4898,363896037,,,Active,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4899,363896038,,,Inactive,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4900,363896039,,,Active,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4901,363896040,164825,C1=CC(=CC=C1N=NC2C(=NN(C2=O)C3=CC=C(C=C3)S(=O)(=O)[O-])C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+],Inactive,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4902,363896041,,,Inactive,,,,Fischer rat embryo (RLV/1706) cells,,"Cell transformation, viral enhanced",CTR-,Negative,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4903,363896042,,,Unspecified,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1T,No conclusion,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/43143; SENSHOKUTAI(KROMOSOMA) 20:574-584,1980",Evaluation B (Post-1980)
4904,363896043,25113282,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O)O,Unspecified,,,,Bacillus subtilis (H17 vs M45),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REWT,No conclusion,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4905,363896043,25113282,CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)CO)O)O)O)O,Unspecified,,,,Bacillus subtilis (H17 vs M45T),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REXT,No conclusion,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4906,363896044,5280965,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,Active,,,,Aspergillus nidulans,,"Aneuploidy, chromosome aberrations",ASN+,Positive,,,"EMICBACK/45085; MUTAT RES 98:1-48,1982",,Evaluation A (Pre-1980)
4907,363896045,6433272,C[C@H]1/C=C/C=C/CC/C=C/C=C/C=C/C=C/C(CC2C(C(C[C@](O2)(CC(C(CCC(CC(CC(CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,Inactive,,,,Neurospora crassa,,"Aneuploidy, chromosome aberrations",NEN-,Negative,,,"EMICBACK/52327; MUTAT RES 133:87-134,1984",,Evaluation A (Pre-1980)
4908,363896046,16133892,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vivo,SC3+D,Positive,,With dose response,,"EMICBACK/63170; CARCINOGENESIS(LONDON) 7:37-39,1986",Evaluation B (Post-1980)
4909,363896046,16133892,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,Unspecified,,,,Escherichia coli polA (W3119 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE1T,No conclusion,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4910,363896047,14421,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,Active,,,,Aspergillus nidulans,,Forward gene mutation,ASF+*,Positive,With metabolic activation,,"EMICBACK/45086; MUTAT RES 98:49-94,1982",,Evaluation A (Pre-1980)
4911,363896047,14421,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,Unspecified,,,,Human lymphocytes or leukocytes,,Chromosome aberrations in vitro,CY7T,No conclusion,,,"EMICBACK/41729; MUTAT RES 87:143-188,1981",,Evaluation A (Pre-1980)
4912,363896047,14421,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,Active,,,,Vicia faba,,Chromosome aberrations,VIC+,Positive,,,"EMICBACK/48092; MUTAT RES 99:257-271,1982",,Evaluation A (Pre-1980)
4913,363896047,14421,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,Unspecified,,,,Drosophila melanogaster,,Sex-linked recessive lethal gene mutation,SRLT,No conclusion,,,"EMICBACK/50912; MUTAT RES 123:183-279,1983",,Evaluation A (Pre-1980)
4914,363896047,14421,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,Unspecified,,,,Drosophila melanogaster,Male,"Heritable translocation test, chromosome aberrations",DHTT,No conclusion,,,"EMICBACK/52867; MUTAT RES 134:61-88,1984",,Evaluation A (Pre-1980)
4915,363896048,3467,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,Inactive,,,,Saccharomyces cerevisiae,,Mitotic recombination or gene conversion,YEH-,Negative,,,"EMICBACK/52546; MUTAT RES 133:199-244,1984",,Evaluation A (Pre-1980)
4916,363896049,62403,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OC4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O)O)N)O)O)N.OS(=O)(=O)O,Active,,,,Rat,Male,Sperm morphology,SPA+,Positive,,,"EMICBACK/50126; MUTAT RES 115:1-72,1983",,Evaluation A (Pre-1980)
4917,363896050,,,Unspecified,,,,Bacillus subtilis (H17 vs M45T),,"Rec-assay, spot test, DNA effects (bacterial DNA repair)",REXT,No conclusion,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4918,363896050,,,Inactive,,,,Escherichia coli polA (W3119 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE1-,Negative,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
4919,363896050,,,Inactive,,,,Mouse,Male,Sperm morphology,SPI-,Negative,,,"EMICBACK/50126; MUTAT RES 115:1-72,1983",,Evaluation A (Pre-1980)
4920,363896051,14985,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C,Unspecified,,,,Human,,Sister-chromatid exchange (SCE) in vitro,SC1T,No conclusion,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/58830; MUTAT RES 149:83-94,1985",Evaluation B (Post-1980)
4921,363896051,14985,CC1=C(C2=C(CC[C@@](O2)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=C1O)C)C,Unspecified,,,,Human lymphocytes,,Sister-chromatid exchange (SCE) in vitro,SCLT,No conclusion,,,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/58830; MUTAT RES 149:83-94,1985",Evaluation B (Post-1980)
4922,363896052,98300,C1=CC=C2C=C3C4=CC=CC=C4C(C(C3=CC2=C1)O)O,Inactive,,,,Chinese hamster lung (V79) cells,,Forward gene mutation at the HPRT or ouabain locus,V79-*,Negative,With metabolic activation,,"EMICBACK/41728; MUTAT RES 87:81-142,1981",,Evaluation A (Pre-1980)
4923,363896053,15012,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C5C(O5)C6=CC=CC=C64,Active,,,,Nonhuman,,Sister-chromatid exchange (SCE) in vitro,SC2+D,Positive,,With dose response,"EMIC/91392; Mutat Res 297:101-180,1993","EMICBACK/41885; MUTAT RES 84:389-398,1981",Evaluation B (Post-1980)
4924,363896053,15012,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C5C(O5)C6=CC=CC=C64,Active,,,,Syrian hamster embryo (SHE) cells,,"Cell transformation, clonal assay",CTC+,Positive,,,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4925,363896053,15012,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C5C(O5)C6=CC=CC=C64,Active,,,,Mouse prostate cells,,Cell transformation,CTM+D,Positive,,With dose response,"EMICBACK/50076; MUTAT RES 114:283-385,1983",,Evaluation A (Pre-1980)
4926,363896053,15012,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C5C(O5)C6=CC=CC=C64,Active,,,,Chinese hamster lung (V79) cells,,Forward gene mutation at the HPRT or ouabain locus,V79+,Positive,,,"EMICBACK/41728; MUTAT RES 87:81-142,1981",,Evaluation A (Pre-1980)
4927,363896053,15012,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C5C(O5)C6=CC=CC=C64,Unspecified,,,,Human diploid fibroblasts,,"Unscheduled DNA synthesis (UDS) in vitro, DNA effects",UDHT,No conclusion,,,"EMICBACK/52100; MUTAT RES 123:363-410,1983",,Evaluation A (Pre-1980)
4928,363896053,15012,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C5C(O5)C6=CC=CC=C64,Active,,,,Nonhuman,,In vivo carcinogenicity studies,CCG+L,Positive,,,"EMICBACK/67174; MUTAT RES 185:1-195,1987",,Evaluation A (Pre-1980)
4929,363896053,15012,C1=CC=C2C(=C1)C=CC3=CC4=C(C=C32)C5C(O5)C6=CC=CC=C64,Active,,,,"Salmonella typhimurium (one or more of the five standard strains: TA98, TA100, TA1535, TA1537, and TA1538)",,"Histidine reverse gene mutation, Ames assay",SAL+,Positive,,,"EMICBACK/63689; MUTAT RES 168:69-240,1986","EMICBACK/12735; SCIENCE 176:47-49,1972",Evaluation A (Pre-1980)
4930,363896054,,,Inactive,,,,Escherichia coli polA (W3119 vs P3478),,"Rec-assay, DNA effects (bacterial DNA repair)",RE1-,Negative,,,"EMICBACK/45048; MUTAT RES 87:211-297,1981",,Evaluation A (Pre-1980)
