Chemical,SMILES,Identificador,Results,Type,Species,Strain,Male,Female
"3-cyclopentyloxy-N-(3,5-dichloropyridin-4-yl)-4-methoxybenzamide",COC1=C(C=C(C=C1)C(=O)NC2=C(C=NC=C2Cl)Cl)OC3CCCC3,154575,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,sim
"3-cyclopentyloxy-N-(3,5-dichloropyridin-4-yl)-4-methoxybenzamide",COC1=C(C=C(C=C1)C(=O)NC2=C(C=NC=C2Cl)Cl)OC3CCCC3,154575,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,Não
3-DIAZOTYRAMINE.HCl,C1=CC(=C(C=C1CCN)[N+]#N)[O-].Cl,---,Positive,In vivo,Rat,f3d,Sim,Não
3-DIBENZOFURANAMINE,C1=CC=C2C(=C1)C3=C(O2)C=C(C=C3)N,4106-66-5,Positive,In vivo,Rat,wis,Sim,Não
3-ethenylpyridine,C=CC1=CN=CC=C1,14272,Negative,In Vivo,MOUSE,STRAIN-A,sim,sim
3-ethyl-1-(2-hydroxyethyl)-1-nitrosourea,CCNC(=O)N(CCO)N=O,124536,Positive,In Vivo,RAT,F344,sim,sim
3-ethyl-1-(2-hydroxyethyl)-1-nitrosourea,CCNC(=O)N(CCO)N=O,124536,Positive,In Vivo,RAT,F344,sim,Não
3-ethyl-1-methyl-1-nitrosourea,CCNC(=O)N(C)N=O,149482,Positive,In Vivo,RAT,F344,sim,sim
3-ethyl-1-methyl-1-nitrosourea,CCNC(=O)N(C)N=O,149482,Positive,In Vivo,RAT,F344,sim,Não
3-hydroxy-4-[(2-methoxy-5-nitrophenyl)diazenyl]-N-(3-nitrophenyl)naphthalene-2-carboxamide,COC1=C(C=C(C=C1)[N+](=O)[O-])N=NC2=C(C(=CC3=CC=CC=C32)C(=O)NC4=CC(=CC=C4)[N+](=O)[O-])O,22979,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
3-hydroxy-4-[(2-methoxy-5-nitrophenyl)diazenyl]-N-(3-nitrophenyl)naphthalene-2-carboxamide,COC1=C(C=C(C=C1)[N+](=O)[O-])N=NC2=C(C(=CC3=CC=CC=C32)C(=O)NC4=CC(=CC=C4)[N+](=O)[O-])O,22979,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
3-hydroxy-4-[(2-methoxy-5-nitrophenyl)diazenyl]-N-(3-nitrophenyl)naphthalene-2-carboxamide,COC1=C(C=C(C=C1)[N+](=O)[O-])N=NC2=C(C(=CC3=CC=CC=C32)C(=O)NC4=CC(=CC=C4)[N+](=O)[O-])O,22979,Negative,In Vivo,RAT,F344,sim,sim
3-HYDROXY-4-ACETYLAMINOBIPHENYL,CC(=O)NC1=C(C=C(C=C1)C2=CC=CC=C2)O,4463-22-3,Negative,In vivo,Rat,nss,Não,Sim
3-HYDROXY-4-AMINOBIPHENYL,C1=CC=C(C=C1)C2=CC(=C(C=C2)N)O,4363-03-05,Negative,In vivo,Rat,nss,Não,Sim
"3-hydroxy-7H-purine-2,6-dione",C1=NC2=C(N1)C(=O)NC(=O)N2O,83520,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,sim
"3-hydroxy-7H-purine-2,6-dione",C1=NC2=C(N1)C(=O)NC(=O)N2O,83520,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,Não
"3-hydroxy-7H-purine-2,6-dione",C1=NC2=C(N1)C(=O)NC(=O)N2O,83520,Positive,In Vivo,RAT,WISTAR,sim,Não
"3-hydroxy-7H-purine-2,6-dione",C1=NC2=C(N1)C(=O)NC(=O)N2O,83520,Positive,In Vivo,RAT,WISTAR,sim,sim
3-HYDROXY-p-BUTYROPHENETIDIDE,CCOC1=CC=C(C=C1)NC(=O)CC(C)O,1083-57-4,Positive,In vivo,mouse,b6c,Sim,Não
3-iodoprop-2-ynyl N-butylcarbamate,CCCCNC(=O)OCC#CI,62097,Negative,In Vivo,Mouse,CD-1,sim,sim
3-iodoprop-2-ynyl N-butylcarbamate,CCCCNC(=O)OCC#CI,62097,Negative,In Vivo,Mouse,CD-1,sim,Não
3-iodoprop-2-ynyl N-butylcarbamate,CCCCNC(=O)OCC#CI,62097,Negative,In Vivo,Rat,Sprague-Dawley,sim,sim
3-iodoprop-2-ynyl N-butylcarbamate,CCCCNC(=O)OCC#CI,62097,Negative,In Vivo,Rat,Sprague-Dawley,sim,Não
3-isothiocyanatoprop-1-ene,C=CCN=C=S,5971,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
3-isothiocyanatoprop-1-ene,C=CCN=C=S,5971,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
3-isothiocyanatoprop-1-ene,C=CCN=C=S,5971,Positive,In Vivo,RAT,F344,sim,Não
3-METHOXY-4-AMINOAZOBENZENE,COC1=C(C=CC(=C1)N=NC2=CC=CC=C2)N,3544-23-8,Negative,In vivo,mouse,b6c,Sim,Não
3-METHOXY-4-AMINOAZOBENZENE,COC1=C(C=CC(=C1)N=NC2=CC=CC=C2)N,3544-23-8,Positive,In vivo,mouse,b6c,Não,Sim
3-METHOXYCATECHOL,COC1=CC=CC(=C1O)O,934-00-9,Positive,In vivo,Rat,f3d,Sim,Não
3-methyl-1-nitrosopiperidin-4-one,CC1CN(CCC1=O)N=O,123017,Positive,In Vivo,RAT,F344,sim,sim
3-methyl-1-nitrosopiperidine,CC1CCCN(C1)N=O,13603-07-01,Positive,in vivo,Nonhuman,Não definido,Não,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylen-1-ol",CC1=C2CC(C3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1)O,,Positive,in vivo,Nonhuman,Não definido,Não,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylen-1-ol",CC1=C2CC(C3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1)O,18759,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,sim
"3-methyl-1,2-dihydrobenzo[j]aceanthrylen-2-ol",CC1=C2C(CC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1)O,,Positive,in vivo,Nonhuman,Não definido,Não,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,1674,Negative,In Vivo,Mouse,129 x MF1 Gstp-null,Não,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,1674,Positive,In Vivo,Mouse,129 x MF1 wild type,Não,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,1674,Positive,In Vivo,Mouse,BALB,Não,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,1674,Positive,In Vivo,Mouse,C57BL,Não,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,1674,Positive,In Vivo,MOUSE,F2,sim,sim
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,1674,Positive,In Vivo,MOUSE,STRAIN-A,sim,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,1674,Positive,In Vivo,MOUSE,UNKNOWN,Não,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,56-49-5,Positive,in vivo,Mouse,Não definido,Sim,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,56-49-5,Positive,in vivo,Nonhuman,Não definido,Não,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,1674,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,Não
"3-methyl-1,2-dihydrobenzo[j]aceanthrylene",CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,1674,Positive,In Vivo,RAT,UNKNOWN,Não,Não
"3-methyl-1,2,4,5-tetrahydrobenzo[j]aceanthrylene-4,5-diol",CC1=C2CCC3=C4C=CC5=CC=CC=C5C4=CC(=C23)C(C1O)O,3343-04-02,Positive,in vivo,Nonhuman,Não definido,Não,Não
"3-methyl-1,2,9,10-tetrahydrobenzo[j]aceanthrylene-9,10-diol",CC1=C2CCC3=C2C(=CC4=C3C=CC5=C4C=CC(C5O)O)C=C1,67481-32-7,Positive,in vivo,Nonhuman,Não definido,Não,Não
3-methyl-1H-benzo[j]aceanthrylen-2-one,CC1=C2C(=O)CC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,,Positive,in vivo,Nonhuman,Não definido,Não,Não
3-methyl-4-nitrosomorpholine,CC1COCCN1N=O,92394,Positive,In Vivo,RAT,F344,sim,sim
"3-methyl-9H-pyrido[2,3-b]indol-2-amine",CC1=CC2=C(NC3=CC=CC=C32)N=C1N,62244,Positive,In Vivo,MOUSE,CDF1,sim,sim
"3-methyl-9H-pyrido[2,3-b]indol-2-amine",CC1=CC2=C(NC3=CC=CC=C32)N=C1N,62244,Positive,In Vivo,MOUSE,CDF1,sim,Não
"3-methyl-9H-pyrido[2,3-b]indol-2-amine",CC1=CC2=C(NC3=CC=CC=C32)N=C1N,62244,Positive,In Vivo,RAT,F344,sim,Não
3-methylbenzo[j]aceanthrylene,CC1=C2C=CC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,18761,Positive,In Vivo,MOUSE,SWISS,sim,sim
3-METHYLBUTANAL METHYLFORMYLHYDRAZONE,CC(C)CC=NN(C)C=O,57590-21-3,Positive,In vivo,mouse,swa,Não,Sim
3-METHYLBUTANAL METHYLFORMYLHYDRAZONE,CC(C)CC=NN(C)C=O,57590-21-3,Positive,In vivo,mouse,swa,Sim,Não
3-METHYLCHOLANTHRENE,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,56-49-5,Negative,In vivo,Rat,lee,Sim,Não
3-METHYLCHOLANTHRENE,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,56-49-5,Positive,In vivo,Rat,wis,Não,Sim
3-METHYLCHOLANTHRENE,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,56-49-5,Positive,In vivo,Rat,nss,Não,Sim
3-methylfluoranthene,CC1=C2C=CC=C3C2=C(C=C1)C4=CC=CC=C43,15565,Negative,In Vivo,MOUSE,CD-1,sim,sim
3-methylfluoranthene,CC1=C2C=CC=C3C2=C(C=C1)C4=CC=CC=C43,15565,Positive,In Vivo,MOUSE,CD-1,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Positive,In Vivo,MONKEY,MACAQUE,sim,sim
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Negative,In Vivo,MOUSE,EU-PIM-1,sim,sim
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Negative,In Vivo,MOUSE,EU-PIM-1,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Negative,In Vivo,MOUSE,NON-TRANSGENIC WILD-TYPE,sim,sim
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Negative,In Vivo,MOUSE,NON-TRANSGENIC WILD-TYPE,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Negative,In Vivo,MOUSE,TRANSGENIC EU-PIM-1,sim,sim
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Negative,In Vivo,MOUSE,TRANSGENIC EU-PIM-1,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Negative,In Vivo,MOUSE,WILD-TYPE,sim,sim
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Negative,In Vivo,MOUSE,WILD-TYPE,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Negative,In Vivo,Mouse,Non transgenic rasH2 Wild-type,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Negative,In Vivo,Mouse,Non transgenic rasH2 Wild-type,sim,sim
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Positive,In Vivo,MOUSE,B6C3F1,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Positive,In Vivo,MOUSE,CD-1,sim,sim
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Positive,In Vivo,MOUSE,CD-1,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Positive,In Vivo,MOUSE,CDF1,sim,sim
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Positive,In Vivo,MOUSE,CDF1,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Positive,In Vivo,MOUSE,SEVERE COMBINED IMMUNODEFICIENT,sim,sim
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Positive,In Vivo,Mouse,Parp-1+,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,76180-96-6,Positive,in vivo,Nonhuman,Não definido,Não,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Negative,In Vivo,RAT,WISTAR,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Positive,In Vivo,RAT,F344,sim,Não
"3-methylimidazo[4,5-f]quinolin-2-amine",CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N,53462,Positive,In Vivo,RAT,SPRAGUE-DAWLEY,sim,sim
3-methylsulfonyloxypropyl methanesulfonate,CS(=O)(=O)OCCCOS(=O)(=O)C,15886-84-7,Positive,in vivo,Rat,Não definido,Sim,Não
"3-N,3-N,6-N,6-N-tetramethylacridine-3,6-diamine;hydrochloride",CN(C)C1=CC2=C(C=C1)C=C3C=CC(=CC3=N2)N(C)C.Cl,65-61-2,Positive,in vivo,Mouse,Não definido,Não,Sim
"3-nitro-2-oxatricyclo[7.3.1.05,13]trideca-1(12),3,5,7,9(13),10-hexaene",C1=CC2=C3C(=C1)C=C(OC3=CC=C2)[N+](=O)[O-],59909,Positive,In Vivo,RAT,WISTAR,sim,Não
3-NITRO-3-HEXENE,CCC=C(CC)[N+](=O)[O-],4812-22-0,Positive,In vivo,mouse,swi,Sim,Sim
3-NITRO-3-HEXENE,CCC=C(CC)[N+](=O)[O-],4812-22-0,Positive,In vivo,Rat,cfn,Sim,Sim
3-NITRO-4-HYDROXYPHENYLARSONIC ACID,C1=CC(=C(C=C1[As](=O)(O)O)[N+](=O)[O-])O,121-19-7,Negative,In vivo,mouse,asw,Não,Sim
3-NITRO-4-HYDROXYPHENYLARSONIC ACID,C1=CC(=C(C=C1[As](=O)(O)O)[N+](=O)[O-])O,121-19-7,Negative,In vivo,mouse,asw,Sim,Não
3-NITRO-4-HYDROXYPHENYLARSONIC ACID,C1=CC(=C(C=C1[As](=O)(O)O)[N+](=O)[O-])O,121-19-7,Negative,In vivo,Rat,asd,Não,Sim
3-NITRO-4-HYDROXYPHENYLARSONIC ACID,C1=CC(=C(C=C1[As](=O)(O)O)[N+](=O)[O-])O,121-19-7,Negative,In vivo,Rat,asd,Sim,Não
3-nitrobenzo[a]pyrene,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C(C=CC(=C54)C=C3)[N+](=O)[O-],50961,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
3-nitrobenzo[a]pyrene,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C(C=CC(=C54)C=C3)[N+](=O)[O-],50961,Negative,In Vivo,RAT,F344,sim,Não
3-nitrobenzo[b]phenalen-7-one,C1=CC=C2C(=C1)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,2825690,Positive,In Vivo,RAT,F344,sim,sim
3-nitrobenzo[e]pyrene,C1=CC=C2C(=C1)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC5=C4C2=CC=C5,149804,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
3-nitrochrysene,C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C=C(C=C4)[N+](=O)[O-],151998,Negative,In Vivo,MOUSE,ICR,sim,sim
3-nitrochrysene,C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C=C(C=C4)[N+](=O)[O-],151998,Negative,In Vivo,MOUSE,ICR,sim,Não
3-nitrofluoranthene,C1=CC=C2C(=C1)C3=C4C2=CC=CC4=C(C=C3)[N+](=O)[O-],13462,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
3-nitrofluoranthene,C1=CC=C2C(=C1)C3=C4C2=CC=CC4=C(C=C3)[N+](=O)[O-],13462,Positive,In Vivo,MOUSE,ICR,sim,sim
3-nitrofluoranthene,C1=CC=C2C(=C1)C3=C4C2=CC=CC4=C(C=C3)[N+](=O)[O-],13462,Positive,In Vivo,MOUSE,ICR,sim,Não
3-nitrofluoranthene,C1=CC=C2C(=C1)C3=C4C2=CC=CC4=C(C=C3)[N+](=O)[O-],13462,Negative,In Vivo,RAT,F344,sim,Não
3-nitrofluoranthene,C1=CC=C2C(=C1)C3=C4C2=CC=CC4=C(C=C3)[N+](=O)[O-],13462,Positive,In Vivo,RAT,F344,sim,Não
3-nitropentane,CCC(CC)[N+](=O)[O-],12333,Positive,In Vivo,RAT,F344,sim,Não
3-NITROPENTANE,CCC(CC)[N+](=O)[O-],551-88-2,Positive,In vivo,Rat,f34,Sim,Não
3-nitropropanoic acid,C(C[N+](=O)[O-])C(=O)O,1678,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
3-nitropropanoic acid,C(C[N+](=O)[O-])C(=O)O,1678,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
3-nitropropanoic acid,C(C[N+](=O)[O-])C(=O)O,504-88-1,Negative,in vivo,Nonhuman,Não definido,Não,Não
3-nitropropanoic acid,C(C[N+](=O)[O-])C(=O)O,1678,Negative,In Vivo,RAT,F344,sim,sim
3-nitropyren-1-ol,C1=CC2=C3C(=C1)C=CC4=C(C=C(C(=C43)C=C2)[N+](=O)[O-])O,104936,Negative,In Vivo,RAT,STRAIN-CD,sim,sim
"3-nitroso-1,3-oxazinane",C1CN(COC1)N=O,93185,Positive,In Vivo,RAT,F344,sim,sim
"3-nitroso-1,3-oxazolidin-2-one",C1COC(=O)N1N=O,148247,Positive,In Vivo,Rodents,SYRIAN,sim,sim
"3-nitroso-1,3-oxazolidin-2-one",C1COC(=O)N1N=O,148247,Positive,In Vivo,RAT,F344,sim,sim
"3-nitroso-1,3-oxazolidine",C1COCN1N=O,114957,Positive,In Vivo,Rodents,SYRIAN,sim,Não
"3-nitroso-1,3-oxazolidine",C1COCN1N=O,114957,Positive,In Vivo,RAT,F344,sim,sim
3-NITROSO-2-OXAZOLIDINONE,C1COC(=O)N1N=O,38347-74-9,Positive,In vivo,Rat,mrw,Sim,Não
3-NITROSOMETHYLAMINOPYRIDINE,CN(C1=CN=CC=C1)N=O,69658-91-9,Negative,In vivo,Rat,bdf,Não,Sim
"3-oxa-12-azapentacyclo[9.8.0.02,4.05,10.013,18]nonadeca-1(19),2(4),5,7,9,11,13,15,17-nonaene",C1=CC=C2C(=C1)C=C3C4=C(O4)C5=CC=CC=C5C3=N2,150767,Negative,In Vivo,MOUSE,SWISS,sim,Não
"3-oxa-12-azapentacyclo[9.8.0.02,4.05,10.013,18]nonadeca-1(19),2(4),5,7,9,11,13,15,17-nonaene",C1=CC=C2C(=C1)C=C3C4=C(O4)C5=CC=CC=C5C3=N2,150767,Positive,In Vivo,MOUSE,SWISS,sim,sim
"3-oxa-9-azatetracyclo[9.4.0.02,4.05,10]pentadeca-1(15),2(4),5(10),6,8,11,13-heptaene",C1=CC=C2C(=C1)C3=C(C=CC=N3)C4=C2O4,149858,Negative,In Vivo,MOUSE,CD-1,sim,sim
"3-oxa-9-azatetracyclo[9.4.0.02,4.05,10]pentadeca-1(15),2(4),5(10),6,8,11,13-heptaene",C1=CC=C2C(=C1)C3=C(C=CC=N3)C4=C2O4,149858,Negative,In Vivo,MOUSE,CD-1,sim,Não
"3-oxahexacyclo[13.8.0.02,4.05,14.06,11.018,23]tricosa-1,4,6(11),7,9,12,14,16,18,20,22-undecaene-7,8-diol",C1=CC=C2C(=C1)C=CC3=C4C=CC5=C(C4=C6C(=C32)O6)C(=C(C=C5)O)O,154430,Positive,In Vivo,MOUSE,ICR,sim,sim
"3-oxahexacyclo[13.8.0.02,4.05,14.06,11.018,23]tricosa-1,4,6(11),7,9,12,14,16,18,20,22-undecaene-7,8-diol",C1=CC=C2C(=C1)C=CC3=C4C=CC5=C(C4=C6C(=C32)O6)C(=C(C=C5)O)O,154430,Positive,In Vivo,MOUSE,ICR,sim,Não
"3-oxahexacyclo[13.8.0.02,4.05,14.06,11.018,23]tricosa-1,4,6(11),7,9,12,14,16,18,20,22-undecaene-7,8-diol",C1=CC=C2C(=C1)C=CC3=C4C=CC5=C(C4=C6C(=C32)O6)C(=C(C=C5)O)O,154430,Positive,In Vivo,RAT,CD-1,sim,sim
"3-oxahexacyclo[13.8.0.02,4.05,14.06,11.018,23]tricosa-1,4,6(11),7,9,12,14,16,18,20,22-undecaene-7,8-diol",C1=CC=C2C(=C1)C=CC3=C4C=CC5=C(C4=C6C(=C32)O6)C(=C(C=C5)O)O,154430,Positive,In Vivo,RAT,STRAIN-CD,sim,sim
"3-phenyldiazenylpyridine-2,6-diamine;hydrochloride",C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,8691,Positive,In Vivo,MOUSE,B6C3F1,sim,sim
"3-phenyldiazenylpyridine-2,6-diamine;hydrochloride",C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,8691,Positive,In Vivo,MOUSE,B6C3F1,sim,Não
"3-phenyldiazenylpyridine-2,6-diamine;hydrochloride",C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,136-40-3,Positive,in vivo,Nonhuman,Não definido,Não,Não
"3-phenyldiazenylpyridine-2,6-diamine;hydrochloride",C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,8691,Positive,In Vivo,RAT,F344,sim,sim
"3-phenyldiazenylpyridine-2,6-diamine;hydrochloride",C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,8691,Positive,In Vivo,RAT,F344,sim,Não
"3,3-bis(4-hydroxyphenyl)-2-benzofuran-1-one",C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,4764,Positive,In Vivo,MOUSE,B6C3F1,sim,sim
"3,3-bis(4-hydroxyphenyl)-2-benzofuran-1-one",C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,4764,Positive,In Vivo,MOUSE,B6C3F1,sim,Não
"3,3-bis(4-hydroxyphenyl)-2-benzofuran-1-one",C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,4764,Positive,In Vivo,RAT,F344,sim,sim
"3,3-bis(4-hydroxyphenyl)-2-benzofuran-1-one",C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,4764,Positive,In Vivo,RAT,F344,sim,Não
"3,3-diethoxyprop-1-ene",CCOC(C=C)OCC,62477,Negative,In Vivo,Rodents,SYRIAN,sim,Não
"3,3-diethoxyprop-1-ene",CCOC(C=C)OCC,62477,Negative,In Vivo,RAT,F344,sim,sim
"3,3-diethoxyprop-1-ene",CCOC(C=C)OCC,62477,Negative,In Vivo,RAT,F344,sim,Não
"3,3-dimethyloxetan-2-one",CC1(COC1=O)C,16059,Negative,In Vivo,MOUSE,B6C3F1,sim,sim
"3,3-dimethyloxetan-2-one",CC1(COC1=O)C,16059,Negative,In Vivo,MOUSE,B6C3F1,sim,Não
"3,3-dimethyloxetan-2-one",CC1(COC1=O)C,16059,Positive,In Vivo,RAT,F344,sim,sim
"3,3-dimethyloxetan-2-one",CC1(COC1=O)C,16059,Positive,In Vivo,RAT,F344,sim,Não
"3,3'-DICHLOROBENZIDINE",C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,91-94-1,Positive,In vivo,Dog,beg,Não,Sim
"3,3'-DICHLOROBENZIDINE",C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,91-94-1,Negative,In vivo,Rat,cdr,Não,Sim
"3,3'-DICHLOROBENZIDINE",C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,91-94-1,Negative,In vivo,Rat,cdr,Sim,Não
"3,3'-DICHLOROBENZIDINE",C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,91-94-1,Positive,In vivo,Rat,cdr,Não,Sim
"3,3'-DICHLOROBENZIDINE",C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,91-94-1,Positive,In vivo,Rat,cdr,Sim,Não
"3,3'-DICHLOROBENZIDINE.2HCl",C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N.Cl.Cl,612-83-9,Positive,In vivo,mouse,icr,Sim,Não
"3,3'-DIHYDROXYBENZIDINE.2HCl",C1=CC(=C(C=C1C2=CC(=C(C=C2)N)O)O)N.Cl.Cl,1592-36-5,Positive,In vivo,mouse,icr,Sim,Não
"3,3'-DIMETHOXYBENZIDINE.2HCl",COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N.Cl.Cl,20325-40-0,Negative,In vivo,mouse,bcn,Não,Sim
"3,3'-DIMETHOXYBENZIDINE.2HCl",COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N.Cl.Cl,20325-40-0,Negative,In vivo,mouse,bcn,Sim,Não
"3,3'-DIMETHOXYBENZIDINE.2HCl",COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N.Cl.Cl,20325-40-0,Positive,In vivo,mouse,icr,Sim,Não
"3,3'-DIMETHYLBENZIDINE.2HCl",CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)C)N.Cl.Cl,612-82-8,Positive,In vivo,mouse,bcn,Sim,Não
