Chemical,SMILES,Identificador,Results,Type
benzyl-(2-chloroethyl)-(1-phenoxypropan-2-yl)azanium;chloride,CC(COC1=CC=CC=C1)[NH+](CCCl)CC2=CC=CC=C2.[Cl-],,Positive,in vivo
"benzyl-dimethyl-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethyl]azanium;chloride",CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],8478,Negative,In Vivo
BENZYLHYDRAZINE.2HCl,C1=CC=C(C=C1)CNN.Cl.Cl,20570-96-1,Negative,In vivo
BENZYLHYDRAZINE.2HCl,C1=CC=C(C=C1)CNN.Cl.Cl,20570-96-1,Positive,In vivo
beryllium,[Be],7440-41-7,Positive,in vivo
beryllium,[Be],5460467,Positive,In Vivo
Beryllium and compounds,[Be],7440-41-7,Positive,In vivo
BERYLLIUM SULFATE,[Be+2].[O-]S(=O)(=O)[O-],13510-49-1,Negative,In vivo
beryllium;carbonate,[Be+2].C(=O)([O-])[O-],61577,Positive,In Vivo
beryllium;dichloride,[Be+2].[Cl-].[Cl-],7787-47-5,Negative,in vitro
beryllium;dihydroxide,[Be+2].[OH-].[OH-],518753,Positive,In Vivo
beryllium;sulfate,[Be+2].[O-]S(=O)(=O)[O-],26077,Positive,In Vivo
beryllium;sulfate,[Be+2].[O-]S(=O)(=O)[O-],26077,Negative,In Vivo
beryllium;sulfate,[Be+2].[O-]S(=O)(=O)[O-],13510-49-1,Positive,in vivo
beryllium;sulfate,[Be+2].[O-]S(=O)(=O)[O-],13510-49-1,Negative,in vitro
beryllium;sulfate;tetrahydrate,[Be+2].O.O.O.O.[O-]S(=O)(=O)[O-],62672,Positive,In Vivo
beryllium;sulfate;tetrahydrate,[Be+2].O.O.O.O.[O-]S(=O)(=O)[O-],7787-56-6,Positive,in vitro
beryllium;zinc;silicate,[Be+2].[O-][Si]([O-])([O-])[O-].[Zn+2],,Positive,in vivo
beryllium;zinc;silicate,[Be+2].[O-][Si]([O-])([O-])[O-].[Zn+2],22748686,Positive,In Vivo
"beta-1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE",C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,319-85-7,Negative,In vivo
"beta-1,2,3,4,5,6-HEXACHLOROCYCLOHEXANE",C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,319-85-7,Positive,In vivo
beta-BUTYROLACTONE,CC1CC(=O)O1,3068-88-0,Positive,In vivo
Beta-butyrolactone,CC1CC(=O)O1,3068-88-0,Positive,in vitro
beta-CAROTENE,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C,7235-40-7,Negative,In vivo
beta-CYCLODEXTRIN,C(C1C2C(C(C(O1)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(O2)C(C8O)O)CO)CO)CO)CO)CO)CO)O)O)O,7585-39-9,Negative,In vivo
Beta-Cypermethrin,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,65731-84-2,Negative,in vivo
Beta-Cypermethrin,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,65731-84-2,Negative,in vitro
beta-N-[gamma-L(+)-GLUTAMYL]-4-HYDROXYMETHYLPHENYLHYDRAZINE,C1=CC(=CC=C1CO)NNC(=O)CCC(C(=O)O)N,2757-90-6,Negative,In vivo
beta-PHENYLISOPROPYLHYDRAZINE.HCl,CC(CC1=CC=CC=C1)NN.Cl,66-05-7,Negative,In vivo
beta-PROPIOLACTONE,C1COC1=O,57-57-8,Positive,In vivo
beta-Propiolactone,C1COC1=O,57-57-8,Positive,in vitro
Bidrin,CC(=CC(=O)N(C)C)OP(=O)(OC)OC,141-66-2,Negative,In vivo
Bifenox,[O-][N+](C(C=C2)=C(C=C2OC1=CC=C(Cl)C=C1Cl)C(OC)=O)=O,42576-02-3,Negative,in vivo
Bifenox,[O-][N+](C(C=C2)=C(C=C2OC1=CC=C(Cl)C=C1Cl)C(OC)=O)=O,42576-02-03,Negative,in vitro
Bifenthrin,O=C(OCC2=CC=CC(C3=CC=CC=C3)=C2C)C1C(C)(C)C1/C=C(Cl)/C(F)(F)F,82657-04-3,Negative,in vivo
Bifenthrin,O=C(OCC2=CC=CC(C3=CC=CC=C3)=C2C)C1C(C)(C)C1/C=C(Cl)/C(F)(F)F,82657-04-03,Negative,in vitro
Biphenthrin,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl,82657-04-03,Negative,In vivo
BIPHENYL,C1=CC=C(C=C1)C2=CC=CC=C2,92-52-4,Negative,In vivo
Biphenyl,C1=CC=C(C=C1)C2=CC=CC=C2,92-52-4,Positive,In vivo
BIS-(CHLOROMETHYL)ETHER,C(OCCl)Cl,542-88-1,Negative,In vivo
BIS-(CHLOROMETHYL)ETHER,C(OCCl)Cl,542-88-1,Positive,In vivo
"BIS-1,2-(CHLOROMETHOXY)ETHANE",C(COCCl)OCCl,13483-18-6,Positive,In vivo
"BIS-1,4-(CHLOROMETHOXY)-p-XYLENE",C1=CC(=CC=C1COCCl)COCCl,56894-91-8,Positive,In vivo
"BIS-1,4-(CHLOROMETHOXY)BUTANE",C(CCOCCl)COCCl,13483-19-7,Negative,In vivo
"BIS-1,6-(CHLOROMETHOXY)HEXANE",C(CCCOCCl)CCOCCl,56894-92-9,Negative,In vivo
BIS-2-CHLOROETHYLETHER,C(CCl)OCCCl,111-44-4,Positive,In vivo
Bis-2-chloroethylether,C(CCl)OCCCl,111-44-4,Positive,in vitro
"BIS-2-HYDROXYETHYLDITHIOCARBAMIC ACID, POTASSIUM",C(CO)N(CCO)C(=S)[S-].[K+],23746-34-1,Positive,In vivo
Bis-chloro-methylether,C(OCCl)Cl,542-88-1,Positive,in vitro
Bis(2-chloro-1-methylethyl) ether,CC(CCl)OC(C)CCl,108-60-1,Negative,In vivo
"Bis(2-chloro-1-methylethyl)ether, technical grade",CC(CCl)OC(C)CCl,108-60-1,Positive,in vitro
Bis(2-chloroethoxy)methane,C(CCl)OCOCCCl,111-91-1,Negative,In vivo
Bis(2-chloroethoxy)methane,C(CCl)OCOCCCl,111-91-1,Positive,in vitro
bis(2-chloroethyl)azanium;chloride,C(CCl)[NH2+]CCCl.[Cl-],102092-04-6,Positive,in vitro
"bis(2-ethylhexyl) benzene-1,2-dicarboxylate",CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,8343,Positive,In Vivo
"bis(2-ethylhexyl) benzene-1,2-dicarboxylate",CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,117-81-7,Positive,in vivo
"bis(2-ethylhexyl) benzene-1,4-dicarboxylate",CCCCC(CC)COC(=O)C1=CC=C(C=C1)C(=O)OCC(CC)CCCC,22932,Negative,In Vivo
bis(2-ethylhexyl) hexanedioate,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,7641,Positive,In Vivo
bis(2-ethylhexyl) hexanedioate,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,7641,Negative,In Vivo
bis(2-ethylhexyl) hexanedioate,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,103-23-1,Positive,in vivo
BIS(2-HYDROXYPROPYL)AMINE,CC(CNCC(C)O)O,110-97-4,Negative,In vivo
"Bis(2,3-dibromopropyl)phosphate, magnesium salt",C(C(CBr)Br)OP(=O)(O)OCC(CBr)Br.[Mg],44144565,Positive,In Vivo
"BIS(2,3-DIBROMOPROPYL)PHOSPHATE, MAGNESIUM SALT",C(C(CBr)Br)OP(=O)(O)OCC(CBr)Br.[Mg],36711-31-6,Positive,In vivo
"Bis(2,3-dibromopropyl)phosphate, magnesium salt",C(C(CBr)Br)OP(=O)(O)OCC(CBr)Br.[Mg],36711-31-6,Positive,in vitro
"bis(3,4-dichlorophenyl)diazene",C1=CC(=C(C=C1N=NC2=CC(=C(C=C2)Cl)Cl)Cl)Cl,14047-09-07,Positive,in vitro
"bis(7-methyloctyl) benzene-1,2-dicarboxylate",CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C,590836,Negative,In Vivo
bis(aziridin-1-yl)-morpholin-4-yl-sulfanylidene-lambda5-phosphane,C1CN1P(=S)(N2CC2)N3CCOCC3,62432,Positive,In Vivo
Bis(chloroethyl)ether (BCEE),C(CCl)OCCCl,111-44-4,Positive,In vivo
Bis(chloromethyl)ether (BCME),C(OCCl)Cl,542-88-1,Positive,In vivo
Bis(dimethylamino)benzophenone (Michler's ketone),CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,90-94-8,Positive,in vitro
"bis(prop-2-enyl) benzene-1,2-dicarboxylate",C=CCOC(=O)C1=CC=CC=C1C(=O)OCC=C,8560,Negative,In Vivo
bis(sulfanylidene)molybdenum,S=[Mo]=S,1317-33-5,Positive,in vitro
"bis[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl] (2E,4E,6E,8E,10E,12E,14E)-2,6,11,15-tetramethylhexadeca-2,4,6,8,10,12,14-heptaenedioate",C/C(=C\C=C\C=C(\C=C\C=C(\C(=O)O[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO[C@@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO)/C)/C)/C=C/C=C(/C(=O)O[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO[C@@H]4O[C@@H]([C@H]([C@@H]([C@H]4O)O)O)CO)\C,5281233,Negative,In Vivo
bis[4-(dimethylamino)phenyl]methanone,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,7031,Positive,In Vivo
bis[4-(dimethylamino)phenyl]methanone,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,90-94-8,Positive,in vivo
bis[4-(dimethylamino)phenyl]methanone,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,90-94-8,Positive,in vitro
BISMUTH DIMETHYLDITHIOCARBAMATE,CN(C)C(=S)S[Bi](SC(=S)N(C)C)SC(=S)N(C)C,21260-46-8,Negative,In vivo
BISMUTH OXYCHLORIDE,O=[Bi].Cl,7787-59-9,Negative,In vivo
Bisphenol A,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,80-05-7,Negative,In vivo
Bispyribac-sodium,COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)[O-])OC.[Na+],125401-92-5,Negative,in vivo
Bispyribac-sodium,COC1=CC(=NC(=N1)OC2=C(C(=CC=C2)OC3=NC(=CC(=N3)OC)OC)C(=O)[O-])OC.[Na+],125401-92-5,Negative,in vitro
Bitertanol,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O,55179-31-2,Negative,in vivo
Bitertanol,CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O,55179-31-2,Negative,in vitro
Bixafen,FC(F)c3nn(C)cc3C(=O)Nc2ccc(F)cc2c1ccc(Cl)c(Cl)c1,581809-46-3,Negative,in vivo
Bixafen,FC(F)c3nn(C)cc3C(=O)Nc2ccc(F)cc2c1ccc(Cl)c(Cl)c1,581809-46-3,Negative,in vitro
BLACK PN,CC(=O)NC1=C2C(=C(C=C1)S(=O)(=O)[O-])C=C(C(=C2O)N=NC3=C4C=C(C=CC4=C(C=C3)N=NC5=CC=C(C=C5)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],2519-30-4,Negative,In vivo
Bleomycin,CC1=C(N=C(N=C1N)[C@H](CC(=O)N)NC[C@@H](C(=O)N)N)C(=O)N[C@@H]([C@H](C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)N[C@H](C)[C@H]([C@H](C)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O,11056-06-7,Positive,in vitro
Blue VRS,CCN(CC)C1=CC=C(C=C1)C(=C2C=CC(=[N+](CC)CC)C=C2)C3=C(C=C(C=C3)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+],129-17-9,Positive,in vitro
boric acid,B(O)(O)O,7628,Negative,In Vivo
Boron and Compounds,[B],7440-42-8,Negative,In vivo
Bromadiolone,C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O,28772-56-7,Negative,in vivo
Bromadiolone,C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O,28772-56-7,Negative,in vitro
Bromate,[O-]Br(=O)=O,15541-45-4,Positive,In vivo
"BROMATE, POTASSIUM",[O-]Br(=O)=O.[K+],7758-01-2,Positive,In vivo
"BROMATE, POTASSIUM",[O-]Br(=O)=O.[K+],7758-01-2,Negative,In vivo
"Bromate, potassium",[O-]Br(=O)=O.[K+],7758-01-2,Positive,in vitro
bromo-chloro-difluoromethane,C(F)(F)(Cl)Br,353-59-3,Negative,in vitro
bromo(dichloro)methane,C(Cl)(Cl)Br,6359,Negative,In Vivo
bromo(dichloro)methane,C(Cl)(Cl)Br,6359,Positive,In Vivo
bromo(dichloro)methane,C(Cl)(Cl)Br,75-27-4,Positive,in vivo
bromo(dichloro)methane,C(Cl)(Cl)Br,75-27-4,Negative,in vitro
bromo(hexyl)mercury,CCCCCC[Hg]Br,18431-36-2,Positive,in vitro
BROMOACETALDEHYDE,C(C=O)Br,17157-48-1,Negative,In vivo
Bromobenzene,C1=CC=C(C=C1)Br,108-86-1,Negative,In vivo
bromobenzene,C1=CC=C(C=C1)Br,108-86-1,Negative,in vitro
Bromochloroacetic acid,C(C(=O)O)(Cl)Br,5589-96-8,Positive,in vitro
Bromochloromethane,C(Cl)Br,74-97-5,Negative,In vivo
BROMOCRIPTINE MESYLATE,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O,22260-51-1,Negative,In vivo
BROMOCRIPTINE MESYLATE,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O,22260-51-1,Positive,In vivo
Bromodichloromethane,C(Cl)(Cl)Br,75-27-4,Positive,In vivo
Bromodiphenyl ether,C1=CC=C(C=C1)OC2=CC=C(C=C2)Br,101-55-3,Negative,In vivo
bromoethane,CCBr,6332,Positive,In Vivo
Bromoethane (ethyl bromide),CCBr,74-96-4,Negative,in vitro
BROMOETHANOL,C(CBr)O,540-51-2,Positive,In vivo
bromoethene,C=CBr,11641,Positive,In Vivo
bromoethene,C=CBr,593-60-2,Positive,in vitro
bromoform,C(Br)(Br)Br,5558,Negative,In Vivo
bromoform,C(Br)(Br)Br,5558,Positive,In Vivo
Bromoform,C(Br)(Br)Br,75-25-2,Positive,In vivo
bromoform,C(Br)(Br)Br,75-25-2,Positive,in vitro
bromomethane,CBr,6323,Negative,In Vivo
Bromomethane,CBr,74-83-9,Negative,In vivo
bromomethane,CBr,6323,Positive,In Vivo
Bromotrichloromethane,C(Cl)(Cl)(Cl)Br,75-62-7,Negative,In vivo
Bromoxynil,C1=C(C=C(C(=C1Br)O)Br)C#N,1689-84-5,Negative,In vivo
Bromoxynil octanoate,CCCCCCCC(=O)OC1=C(C=C(C=C1Br)C#N)Br,1689-99-2,Negative,In vivo
Bromuconazole,BrC1CC(CN2N=CN=C2)(C3=C(Cl)C=C(Cl)C=C3)OC1,116255-48-2,Negative,in vivo
Bromuconazole,BrC1CC(CN2N=CN=C2)(C3=C(Cl)C=C(Cl)C=C3)OC1,116255-48-2,Negative,in vitro
BUDESONIDE,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C,51333-22-3,Positive,In vivo
Bupirimate,CCCCC1=C(N=C(N=C1OS(=O)(=O)N(C)C)NCC)C,41483-43-6,Negative,in vivo
Bupirimate,CCCCC1=C(N=C(N=C1OS(=O)(=O)N(C)C)NCC)C,41483-43-6,Negative,in vitro
Buprofezin,CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2,69327-76-0,Negative,in vivo
Buprofezin,CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2,69327-76-0,Negative,in vitro
Bupropion,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,34911-55-2,Positive,in vitro
Busulfan -compound GSK 34,CS(=O)(=O)OCCCCOS(=O)(=O)C,55-98-1,Positive,in vitro
but-2-ynediamide,C(#CC(=O)N)C(=O)N,543-21-5,Negative,in vitro
"but-3-yn-2-yl N-(3-chlorophenyl)carbamate;3-cyclooctyl-1,1-dimethylurea",CC(C#C)OC(=O)NC1=CC(=CC=C1)Cl.CN(C)C(=O)NC1CCCCCCC1,8015-55-2,Negative,in vitro
"buta-1,3-diene",C=CC=C,7845,Negative,In Vivo
"buta-1,3-diene",C=CC=C,7845,Positive,In Vivo
"buta-1,3-diene",C=CC=C,106-99-0,Positive,in vitro
Butadiene,C=CC=C,106-99-0,Positive,In vivo
Butadiene monoxide,C=CC1CO1,930-22-3,Negative,in vitro
butan-1-ol,CCCCO,71-36-3,Negative,in vitro
butan-2-one,CCC(=O)C,78-93-3,Negative,in vitro
butan-2-yl 2-(2-hydroxyethyl)piperidine-1-carboxylate,CCC(C)OC(=O)N1CCCCC1CCO,125098,Negative,In Vivo
butanal,CCCC=O,123-72-8,Positive,in vitro
"butanedioic acid;2-[4-(3-chloro-5,6-dihydrobenzo[b][1]benzothiepin-6-yl)piperazin-1-yl]ethanol",C1CN(CCN1CCO)C2CC3=C(C=CC(=C3)Cl)SC4=CC=CC=C24.C(CC(=O)O)C(=O)O,,Negative,in vivo
"butanedioic acid;N,N-dimethyl-2-(1-phenyl-1-pyridin-2-ylethoxy)ethanamine",CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C.C(CC(=O)O)C(=O)O,11224,Positive,In Vivo
"butanedioic acid;N,N-dimethyl-2-(1-phenyl-1-pyridin-2-ylethoxy)ethanamine",CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C.C(CC(=O)O)C(=O)O,11224,Negative,In Vivo
butyl (2R)-2-[4-(4-cyano-2-fluorophenoxy)phenoxy]propanoate,CCCCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)C#N)F,180089,Negative,In Vivo
butyl (2R)-2-[4-[5-(trifluoromethyl)pyridin-2-yl]oxyphenoxy]propanoate,CCCCOC(=O)[C@@H](C)OC1=CC=C(C=C1)OC2=NC=C(C=C2)C(F)(F)F,3033674,Negative,In Vivo
butyl 2-diazoacetate,CCCCOC(=O)C=[N+]=[N-],,Positive,in vitro
butyl 4-hydroxybenzoate,CCCCOC(=O)C1=CC=C(C=C1)O,7184,Negative,In Vivo
Butyl benzyl phthalate (BBP),CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,85-68-7,Negative,In vivo
butyl methanesulfonate,CCCCOS(=O)(=O)C,1912-32-9,Positive,in vitro
BUTYL p-HYDROXYBENZOATE,CCCCOC(=O)C1=CC=C(C=C1)O,94-26-8,Negative,In vivo
butyl prop-2-enoate,CCCCOC(=O)C=C,8846,Negative,In Vivo
Butylate,CCSC(=O)N(CC(C)C)CC(C)C,2008-41-5,Negative,In vivo
BUTYLATED HYDROXYANISOLE,CC(C)(C)C1=C(C=CC(=C1)OC)O,25013-16-5,Negative,In vivo
BUTYLATED HYDROXYANISOLE,CC(C)(C)C1=C(C=CC(=C1)OC)O,25013-16-5,Positive,In vivo
Butylated hydroxyanisole,CC(C)(C)C1=C(C=CC(=C1)OC)O,25013-16-5,Positive,in vitro
BUTYLATED HYDROXYTOLUENE,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,128-37-0,Negative,In vivo
BUTYLATED HYDROXYTOLUENE,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,128-37-0,Positive,In vivo
Butylated hydroxytoluene,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,128-37-0,Positive,in vitro
Butylchloride,CC(C)(C)Cl,507-20-0,Negative,In vivo
butylhydrazine;hydrochloride,CCCCNN.Cl,93308,Positive,In Vivo
Butylphthalyl butylglycolate (BPBG),CCCCOC(=O)COC(=O)C1=CC=CC=C1C(=O)OCCCC,85-70-1,Negative,In vivo
butylurea,CCCCNC(=O)N,592-31-4,Negative,in vitro
C.I. Acid orange 3,C1=CC=C(C=C1)NC2=C(C=C(C=C2)NC3=C(C=C(C=C3)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)[O-].[Na+],6373-74-6,Positive,in vitro
C.I. Acid red 114,CC1=CC=C(C=C1)S(=O)(=O)OC2=CC=C(C=C2)N=NC3=C(C=C(C=C3)C4=CC(=C(C=C4)N=NC5=C(C=CC6=CC(=CC(=C65)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)C.[Na+].[Na+],6459-94-5,Negative,in vitro
C.I. Basic red 9 (pararosaniline HCl),C1=CC(=N)C=CC1=C(C2=CC=C(C=C2)N)C3=CC=C(C=C3)N.Cl,569-61-9,Negative,in vitro
C.I. DIRECT BLACK 38,C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)C5=CC=C(C=C5)N=NC6=C(C=C(C=C6)N)N)N)O.[Na+].[Na+],1937-37-7,Positive,In vivo
C.I. Direct black 38,C1=CC=C(C=C1)N=NC2=C(C3=C(C(=C(C=C3C=C2S(=O)(=O)[O-])S(=O)(=O)[O-])N=NC4=CC=C(C=C4)C5=CC=C(C=C5)N=NC6=C(C=C(C=C6)N)N)N)O.[Na+].[Na+],1937-37-7,Negative,in vitro
C.I. Direct blue 14 (Trypan blue),CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C(C=C4C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])N)O)C)N=NC5=C(C6=C(C=C(C=C6C=C5S(=O)(=O)[O-])S(=O)(=O)[O-])N)O.[Na+].[Na+].[Na+].[Na+],72-57-1,Negative,in vitro
C.I. Direct blue 15,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C(C=C4C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])N)O)OC)N=NC5=C(C6=C(C=C(C=C6C=C5S(=O)(=O)[O-])S(=O)(=O)[O-])N)O.[Na+].[Na+].[Na+].[Na+],2429-74-5,Positive,in vitro
C.I. Direct blue 53,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C3)C(=CC(=C4N)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)N=NC5=C(C6=C(C=C5)C(=CC(=C6N)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+].[Na+].[Na+],314-13-6,Positive,in vitro
C.I. Direct blue 6,C1=CC(=CC=C1C2=CC=C(C=C2)N=NC3=C(C4=C(C=C(C=C4C=C3S(=O)(=O)[O-])S(=O)(=O)[O-])N)O)N=NC5=C(C6=C(C=C(C=C6C=C5S(=O)(=O)[O-])S(=O)(=O)[O-])N)O.[Na+].[Na+].[Na+].[Na+],2602-46-2,Negative,in vitro
C.I. Direct brown 95,C1=CC(=CC=C1C2=CC=C(C=C2)N=NC3=C(C=CC(=C3[O-])N=NC4=C(C=CC(=C4)S(=O)(=O)[O-])[O-])O)N=NC5=CC(=C(C=C5)O)C(=O)[O-].[Na+].[Na+].[Cu+2],16071-86-6,Negative,in vitro
C.I. Direct red 28 ( Congo Red),C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)[O-])N)S(=O)(=O)[O-].[Na+].[Na+],573-58-0,Positive,in vitro
C.I. Disperse blue 1,C1=CC(=C2C(=C1N)C(=O)C3=C(C=CC(=C3C2=O)N)N)N,2475-45-8,Positive,in vitro
C.I. Disperse orange 2 (1-amino-2-methyl-anthrquinone),CC1=C(C2=C(C=C1)C(=O)C3=CC=CC=C3C2=O)N,82-28-0,Positive,in vitro
C.I. Disperse yellow 3,CC1=CC(=C(C=C1)O)N=NC2=CC=C(C=C2)NC(=O)C,2832-40-8,Negative,in vitro
C.I. FOOD RED 3,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)[O-])O.[Na+].[Na+],3567-69-9,Negative,In vivo
C.I. food red 3 [AKA Acid red 14],C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C(C4=CC=CC=C4C(=C3)S(=O)(=O)[O-])O.[Na+].[Na+],3567-69-9,Negative,in vitro
C.I. Pigment red 23,COC1=C(C=C(C=C1)[N+](=O)[O-])N=NC2=C(C(=CC3=CC=CC=C32)C(=O)NC4=CC(=CC=C4)[N+](=O)[O-])O,6471-49-4,Negative,in vitro
C.I. Pigment red 3,CC1=CC(=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O)[N+](=O)[O-],2425-85-6,Negative,in vitro
C.I. PIGMENT YELLOW 12,CC(=O)C(C(=O)NC1=CC=CC=C1)N=NC2=C(C=C(C=C2)C3=CC(=C(C=C3)N=NC(C(=O)C)C(=O)NC4=CC=CC=C4)Cl)Cl,6358-85-6,Negative,In vivo
C.I. pigment yellow 12 Diarylanilide yellow,CC(=O)C(C(=O)NC1=CC=CC=C1)N=NC2=C(C=C(C=C2)C3=CC(=C(C=C3)N=NC(C(=O)C)C(=O)NC4=CC=CC=C4)Cl)Cl,6358-85-6,Negative,in vitro
C.I. PIGMENT YELLOW 83,CC(=O)C(C(=O)NC1=CC(=C(C=C1OC)Cl)OC)N=NC2=C(C=C(C=C2)C3=CC(=C(C=C3)N=NC(C(=O)C)C(=O)NC4=CC(=C(C=C4OC)Cl)OC)Cl)Cl,5567-15-7,Negative,In vivo
C.I. Solvent yellow 14,C1=CC=C(C=C1)N=NC2=C(C=CC3=CC=CC=C32)O ,0842-07-09,Negative,in vitro
C.I. Solvent yellow 3 (o-aminoazotoluene),CC1=CC=CC=C1N=NC2=CC(=C(C=C2)N)C,97-56-3,Positive,in vitro
Cacodylic acid,C[As](=O)(C)O,75-60-5,Negative,In vivo
cadmium,[Cd],23973,Positive,In Vivo
Cadmium,[Cd],7440-43-9,Positive,In vivo
CADMIUM ACETATE,CC(=O)[O-].CC(=O)[O-].[Cd+2],543-90-8,Negative,In vivo
CADMIUM CHLORIDE,Cl[Cd]Cl,10108-64-2,Negative,In vivo
CADMIUM CHLORIDE,Cl[Cd]Cl,10108-64-2,Positive,In vivo
